Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
29-April-2014,417.05,419.00,408.10,409.15,412.587648968782310580,220516,7552,90982178.00,48436,21.96,10.90,-7.90
28-April-2014,423.80,423.85,415.10,416.50,418.328675961716996100,236972,6977,99132183.00,62196,26.25,8.75,-7.30
25-April-2014,422.25,430.50,422.25,423.80,426.212474251173471110,236904,6478,100971440.00,49442,20.87,8.25,1.55
23-April-2014,431.40,433.40,422.50,425.45,427.091103547339495378,256192,9913,109417324.00,60843,23.75,10.90,-5.95
22-April-2014,431.00,434.60,426.45,429.05,430.153274037510689683,358991,7661,154421154.00,35932,10.01,8.15,-1.95
21-April-2014,425.00,434.50,424.40,431.95,430.204569865940535425,344474,9336,148194289.00,75241,21.84,10.10,6.95
17-April-2014,414.00,430.25,414.00,428.65,424.594835356068138044,753353,17267,319869793.00,261630,34.73,16.25,14.65
16-April-2014,412.65,418.80,409.60,411.20,413.138120546301484613,353358,11286,145985660.00,68426,19.36,9.20,-1.45
15-April-2014,424.35,428.75,409.70,412.35,414.734653120891692898,298937,9471,123979533.00,56789,19.00,19.05,-12.00
11-April-2014,430.00,437.70,422.10,423.25,429.865878332650704279,568879,14704,244541671.00,209627,36.85,15.60,-6.75
10-April-2014,422.05,435.00,422.05,430.80,431.658689005460519470,595914,14651,257231456.00,218988,36.75,12.95,8.75
9-April-2014,405.95,423.00,405.95,421.00,416.514167897460261720,387284,10927,161309273.00,122803,15.85,17.05,15.05
7-April-2014,404.00,423.60,400.20,403.25,403.242983551644351504,413172,5597,166608710.00,275160,33.30,23.40,-0.75
4-April-2014,413.65,413.65,404.50,405.10,406.199587823332013256,383816,3957,155905901.00,196095,51.09,9.15,-8.55
3-April-2014,415.05,417.85,406.90,411.25,413.110371182029858923,365050,7323,150805941.00,77397,21.20,10.95,-3.80
2-April-2014,406.00,414.30,405.00,413.55,411.939946260726593853,987732,18424,406886267.00,430986,43.63,9.30,7.55
1-April-2014,403.00,405.55,399.70,403.00,402.323357113856504843,534471,6930,215030167.00,262979,49.20,5.85,0.00
